EventCode,EventDetails,EventDescription
1202,Fresh Credential Validation Success,"A request where fresh credentials are validated successfully by the Federation Service. This includes WS-Trust, WS-Federation, SAML-P (first leg to generate SSO) and OAuth Authorize Endpoints."
1203,Fresh Credential Validation Error,"A request where fresh credential validation failed on the Federation Service. This includes WS-Trust, WS-Fed, SAML-P (first leg to generate SSO) and OAuth Authorize Endpoints."
1200,Application Token Success,"A request where a security token is issued successfully by the Federation Service. For WS-Federation, SAML-P this is logged when the request is processed with the SSO artifact. (such as the SSO cookie)."
1201,Application Token Failure,"A request where security token issuance failed on the Federation Service. For WS-Federation, SAML-P this is logged when the request was processed with the SSO artifact. (such as the SSO cookie)."
1204,Password Change Request Success,A transaction where the password change request was successfully processed by the Federation Service.
1205,Password Change Request Error,A transaction where the password change request failed to be processed by the Federation Service.
1206,Sign Out Success,Describes a successful sign-out request.
1207,Sign Out Failure,Describes a failed sign-out request.
100,FsServiceStart,The Federation Service started successfully. The following service hosts have been added: %1 
102,StartupException,There was an error in enabling endpoints of Federation Service. Fix configuration errors using PowerShell cmdlets and restart the Federation Service. Additional Data Exception details: %1 
103,FsServiceStop,The Federation Service stopped successfully. 
104,ArtifactServiceNotRunningForReplayDetectionCheck,The artifact resolution service is not running. The service must be running to perform token replay detection. User Action Make sure that the artifact resolution service is configured properly. Or disable token replay detection by using the Set-ADFSProperties cmdlet with the PreventTokenReplays parameter in Windows PowerShell for AD FS. 
105,AuthMethodLoadError,An error occurred loading an authentication provider. Fix configuration errors using PowerShell cmdlets and restart the Federation Service. Identifier: %1 Context: %2 Additional Data Exception details: %3 
106,AuthMethodLoadSuccess,"An authentication provider was successfully loaded: Identifier: '%1', Context: '%2' "
111,WsTrustRequestProcessingError,The Federation Service encountered an error while processing the WS-Trust request. Request type: %1 Additional Data Exception details: %2 
131,BadConfigurationFormatError,"During processing of the Federation Service configuration, the element '%1' was found to have invalid data. The configured value '%2' could not be parsed as type '%3'. Element: %1 Value: %2 Type: %3 The Federation Service will not be able to start until this configuration element is corrected. User Action Correct the specified configuration element to conform to the given type. "
132,BadConfigurationValueMissing,"During processing of the Federation Service configuration, the required element '%1' was missing. Element: %1 The Federation Service will not be able to start until this configuration element is configured. User Action Configure the specified configuration element using the AD FS Management snap-in. "
133,BadConfigurationIdentityCertificateHasNoPrivateKey,"During processing of the Federation Service configuration, the element '%1' was found to have invalid data. The private key for the certificate that was configured could not be accessed. The following are the values of the certificate: Element: %1 Subject: %2 Thumbprint: %3 storeName: %4 storeLocation: %5 Federation Service identity: %6 The Federation Service will not be able to start until this configuration element is corrected. This condition can occur when the certificate is found in the specified store but there is a problem accessing the certificate's private key. Common causes for this condition include the following: (1) The certificate was installed from a source that did not include the private key, such as a .cer or .p7b file. (2) The certificate's private key was imported (for example, from a .pfx file) into a store that is different from the store specified above. (3) The certificate was generated as part of a certificate request that did not specify the ""Machine Key"" option. (4) The Federation Service identity '%6' has not been granted read access to the certificate's private key. User Action If the certificate was imported from a source with no private key, choose a certificate that does have a private key, or import the certificate again from a source that includes the private key (for example, a .pfx file). If the certificate was imported in a user context, verify that the store specified above matches the store the certificate was imported into. If the certificate was generated by a certificate request that did not specify the ""Machine Key"" option and the key is marked as exportable, export the certificate with a private key from the user store to a .pfx file and import it again directly into the store specified in the configuration file. If the key is not marked as exportable, request a new certificate using the ""Machine Key"" option. If the Federation Service identity has not been granted read access to the certificate's private key, correct this condition using the Certificates snap-in. "
134,BadConfigurationCertificateNotFound,"During processing of the Federation Service configuration, the element '%1' was found to have invalid data. The certificate that was identified by the findValue '%2' could not be found. Element: %1 storeName: %3 storeLocation: %4 x509FindType: %5 findValue: %2 The Federation Service will not be able to start until this configuration element is corrected. This condition occurs when the findValue that is specified does not match any certificate in the specified store. Common causes for this condition include the following: (1) The certificate with the specified findValue is from a store that is different from the configured store. (2) The certificate was deleted from the store after configuration. User Action If the certificate exists in a different store, find the location using the certificates snap-in and correct the configuration appropriately. If the certificate has been deleted, configure a different certificate. "
135,BadConfigurationMultipleCertificatesMatch,"During processing of the Federation Service configuration, the element '%1' was found to have invalid data. The certificate that was identified by the findValue '%2' was not unique. Element: %1 storeName: %3 storeLocation: %4 x509FindType: %5 findValue: %2 The Federation Service will not be able to start until this configuration element is corrected. This condition can occur when the certificate is found in the specified store but there is more than one certificate that matches the findValue. User Action If the certificate was identified by name and there are multiple certificates of the same name, configure the certificate using the certificate thumbprint. "
136,ConfigurationErrorsException,"During processing of the Federation Service configuration, the Federation Service encountered a configuration error. %1 Additional Data %2 The Federation Service will not be able to start until this error has been corrected. User Action Correct the specified configuration error using the AD FS Management snap-in. "
143,UnableToCreateFederationMetadataDocument,The Federation Service was unable to create the federation metadata document as a result of an error. Document Path: %1 Additional Data Exception details: %2 
